"id","name","country_id","created_at","updated_at"
224,Morazán,19,2019-06-30 14:43:50.892,2019-06-30 14:43:50.892
225,Keffa,11,2019-07-01 16:04:35.226,2019-07-01 16:04:35.226
226,Jutiapa,4,2019-07-01 20:05:25.156,2019-07-01 20:05:25.156
227,Scania,37,2019-07-02 14:44:45.240,2019-07-02 14:44:45.240
228,Pennsylvania,15,2019-07-05 19:30:34.179,2019-07-05 19:30:34.179
229,Ka'U,15,2019-07-05 21:32:37.086,2019-07-05 21:32:37.086
230,Inzá,14,2019-07-09 19:40:59.285,2019-07-09 19:40:59.285
231,Chiayi City,51,2019-07-12 20:14:01.510,2019-07-12 20:14:01.510
232,Acevedo,14,2019-07-15 15:40:38.704,2019-07-15 15:40:38.704
233,Cartago,13,2019-07-15 18:03:34.937,2019-07-15 18:03:34.937
234,Kasese,31,2019-07-15 23:31:26.833,2019-07-15 23:31:26.833
235,Pitalito,14,2019-07-16 15:29:30.354,2019-07-16 15:29:30.354
236,Västra Götaland,37,2019-07-18 16:03:53.655,2019-07-18 16:03:53.655
238,Not Available,38,2019-07-18 16:15:31.902,2019-07-18 16:15:31.902
239,Sidamo,11,2019-07-19 20:01:35.490,2019-07-19 20:01:35.490
240,Caravani,43,2019-07-19 20:07:58.059,2019-07-19 20:07:58.059
241,Guerrero,18,2019-07-19 20:32:59.941,2019-07-19 20:32:59.941
242,Kentucky,15,2019-07-19 23:48:09.638,2019-07-19 23:48:09.638
243,Francisco Morazán,22,2019-07-21 16:35:31.272,2019-07-21 16:35:31.272
244,Bujumbura Rural,12,2019-07-23 14:39:32.738,2019-07-23 14:39:32.738
245,Acatenango,4,2019-07-24 18:05:26.870,2019-07-24 18:05:26.870
246,Betulia,14,2019-07-24 19:03:23.579,2019-07-24 19:03:23.579
247,Palestina,14,2019-07-24 19:21:43.290,2019-07-24 19:21:43.290
248,Larecaja,43,2019-07-29 15:15:36.920,2019-07-29 15:15:36.920
249,Schleswig-Holstein,36,2019-08-01 17:51:20.577,2019-08-01 17:51:20.577
250,Suchitepéquez,4,2019-08-02 16:53:48.484,2019-08-02 16:53:48.484
251,Guatemala,4,2019-08-03 20:09:02.452,2019-08-03 20:09:02.452
252,Veneto,10,2019-08-06 16:20:35.711,2019-08-06 16:20:35.711
253,North Rhine-Westphalia,36,2019-08-11 19:21:05.509,2019-08-11 19:21:05.509
254,Chiang Rai,42,2019-08-11 23:24:33.606,2019-08-11 23:24:33.606
255,Santa Rosa Department,4,2019-08-12 01:02:50.382,2019-08-12 01:02:50.382
256,Machakos,3,2019-08-19 16:54:15.055,2019-08-19 16:54:15.055
257,Alta Verapaz,4,2019-08-24 14:55:18.713,2019-08-24 14:55:18.713
258,Arumeru,27,2019-09-04 17:10:18.798,2019-09-04 17:10:18.798
259,Comayagua,22,2019-09-04 18:54:35.381,2019-09-04 18:54:35.381
260,Florida,43,2019-09-04 20:06:28.995,2019-09-04 20:06:28.995
261,Imbabura,20,2019-09-05 15:52:02.452,2019-09-05 15:52:02.452
262,Huehuetanango,4,2019-09-10 15:08:21.977,2019-09-10 15:08:21.977
263,Lower Silesia,52,2019-09-11 17:02:21.570,2019-09-11 17:02:21.570
264,Kembata Tembaro,11,2019-09-11 17:20:19.539,2019-09-11 17:20:19.539
265,Sana'a,47,2019-09-12 16:40:48.185,2019-09-12 16:40:48.185
266,Santa Bárbara,22,2019-09-12 19:06:38.638,2019-09-12 19:06:38.638
267,Idaho,15,2019-09-16 00:57:12.132,2019-09-16 00:57:12.132
268,Santander,14,2019-09-16 01:10:00.348,2019-09-16 01:10:00.348
269,Wisconsin,15,2019-09-17 15:07:57.777,2019-09-17 15:07:57.777
270,Prince Edward Island,2,2019-09-19 17:15:45.641,2019-09-19 17:15:45.641
271,Greater Poland,52,2019-09-23 01:39:37.542,2019-09-23 01:39:37.542
272,North Malawi,21,2019-09-23 01:54:48.861,2019-09-23 01:54:48.861
273,Washington,15,2019-09-25 18:08:43.215,2019-09-25 18:08:43.215
274,Champasak,53,2019-09-25 18:24:22.673,2019-09-25 18:24:22.673
275,Chiquimula,4,2019-09-25 19:31:04.286,2019-09-25 19:31:04.286
276,Connecticut,15,2019-10-01 00:36:10.829,2019-10-01 00:36:10.829
277,Nothern Province,24,2019-10-02 14:44:46.641,2019-10-02 14:44:46.641
278,San Vicente,19,2019-10-02 15:58:47.617,2019-10-02 15:58:47.617
279,Boyo,54,2019-10-03 01:22:20.831,2019-10-03 01:22:20.831
280,La Vega Province,55,2019-10-03 01:25:05.660,2019-10-03 01:25:05.660
281,Karnataka State,28,2019-10-03 01:29:17.565,2019-10-03 01:29:17.565
282,Karatu,27,2019-10-04 19:22:53.554,2019-10-04 19:22:53.554
283,Kiambu County,3,2019-10-05 21:47:52.591,2019-10-05 21:47:52.591
284,Chirripo,13,2019-10-05 22:09:51.512,2019-10-05 22:09:51.512
285,Eastern Uganda,31,2019-10-06 19:35:02.245,2019-10-06 19:35:02.245
286,Nyeri County,3,2019-10-10 01:12:15.383,2019-10-10 01:12:15.383
287,Kirundo,12,2019-10-11 15:23:42.563,2019-10-11 15:23:42.563
288,Muyinga,12,2019-10-11 15:23:57.743,2019-10-11 15:23:57.743
289,Oklahoma,15,2019-10-12 20:15:09.612,2019-10-12 20:15:09.612
290,Lesser Poland,52,2019-10-18 20:12:51.913,2019-10-18 20:12:51.913
291,Santiago de Cuba,56,2019-10-18 21:20:06.808,2019-10-18 21:20:06.808
293,Virginia,15,2019-10-23 01:18:39.617,2019-10-23 01:18:39.617
294,Tarrazú,13,2019-10-23 15:21:08.632,2019-10-23 15:21:08.632
295,Arizona,15,2019-10-23 19:24:46.352,2019-10-23 19:24:46.352
296,Utah,15,2019-10-24 01:51:29.559,2019-10-24 01:51:29.559
297,Nouvelle-Aquitaine,57,2019-10-25 21:34:11.683,2019-10-25 21:34:11.683
298,Cesar,14,2019-10-25 22:04:03.039,2019-10-25 22:04:03.039
299,East Welega,11,2019-10-25 22:14:52.421,2019-10-25 22:14:52.421
300,Baja Verapaz,4,2019-10-30 15:39:40.458,2019-10-30 15:39:40.458
301,Porto,58,2019-10-31 23:49:08.563,2019-10-31 23:49:08.563
302,Leinster,60,2019-11-01 00:08:07.721,2019-11-01 00:08:07.721
303,Keffa Zone,11,2019-11-02 19:55:36.490,2019-11-02 19:55:36.490
304,San Salvador Department,19,2019-11-02 21:10:38.688,2019-11-02 21:10:38.688
306,Iowa,15,2019-11-08 18:35:42.212,2019-11-08 18:35:42.212
308,Escuintla,4,2019-11-13 15:51:40.089,2019-11-13 15:51:40.089
310,Uusimaa,61,2019-11-13 20:46:22.640,2019-11-13 20:46:22.640
311,Harjumaa,62,2019-11-13 21:10:24.314,2019-11-13 21:10:24.314
313,Sololá,4,2019-11-15 20:09:22.248,2019-11-15 20:09:22.248
316,Coahuila,18,2019-11-16 23:57:15.331,2019-11-16 23:57:15.331
317,Lambayeque,23,2019-11-17 00:47:28.899,2019-11-17 00:47:28.899
