"id","name","color","created_at","updated_at","ancestry","ancestry_depth"
110,Jasmine / Honeysuckle,#F44090,2017-09-19 00:17:25.744,2018-10-11 01:35:45.214,"105/107",2
109,Rosehips,#F44090,2017-09-19 00:17:25.740,2018-10-11 01:35:45.224,"105/107",2
82,Spice,#953A77,2017-09-19 00:17:25.628,2018-10-11 01:35:45.494,"79",1
81,Black pepper,#953A77,2017-09-19 00:17:25.624,2018-10-11 01:35:45.509,"79/82",2
83,Licorice-Anise,#953A77,2017-09-19 00:17:25.632,2018-10-11 01:35:45.513,"79/82",2
77,Grain,#B53E27,2017-09-19 00:17:25.610,2018-10-11 01:35:45.550,"156/76",2
78,Malt,#B53E27,2017-09-19 00:17:25.613,2018-10-11 01:35:45.552,"156/76",2
76,Grain & Cereal,#B53E27,2017-09-19 00:17:25.606,2018-10-11 01:35:45.554,"156",1
96,Brown sugar,#D28269,2017-09-19 00:17:25.692,2020-05-07 18:29:49.899,"95/171",2
92,Chocolate,#A96B4B,2017-09-19 00:17:25.668,2018-10-11 01:35:45.584,"87",1
101,Vanilla,#D28269,2017-09-19 00:17:25.710,2020-05-07 18:29:49.904,"95/171",2
107,Floral,#F44090,2017-09-19 00:17:25.733,2018-09-19 19:15:39.837,"105",1
206,Green apple,#71B700,2018-10-11 01:35:45.968,2020-05-07 18:29:50.132,"1/205",2
16,Red apple,#71B700,2017-09-19 00:17:25.344,2020-05-07 18:29:50.137,"1/205",2
18,Pear,#71B700,2017-09-19 00:17:25.360,2020-05-07 18:29:50.142,"1/205",2
30,Citric acid,#F3BE00,2017-09-19 00:17:25.406,2020-05-07 18:29:50.165,"1/19",2
212,Quakery,#6C6C6C,2018-10-11 01:35:46.017,2020-05-07 18:29:50.235,"49/210",2
213,Raw nut,#6C6C6C,2018-10-11 01:35:46.020,2020-05-07 18:29:50.240,"49/210",2
215,Unsweet peas,#6C6C6C,2018-10-11 01:35:46.026,2020-05-07 18:29:50.246,"49/214",2
22,Lemon & Lemonade,#F3BE00,2017-09-19 00:17:25.376,2020-05-07 18:29:50.171,"1/19",2
207,Clementine,#F3BE00,2018-10-11 01:35:45.997,2020-05-07 18:29:50.176,"1/19",2
94,Dark chocolate,#A96B4B,2017-09-19 00:17:25.676,2018-09-19 19:16:37.517,"87/92",2
208,Tangerine,#F3BE00,2018-10-11 01:35:45.999,2020-05-07 18:29:50.181,"1/19",2
209,Mandarin orange,#F3BE00,2018-10-11 01:35:46.002,2020-05-07 18:29:50.186,"1/19",2
89,Peanuts,#8A441F,2017-09-19 00:17:25.654,2020-05-07 18:29:50.208,"87/88",2
90,Hazelnut,#8A441F,2017-09-19 00:17:25.658,2020-05-07 18:29:50.213,"87/88",2
91,Almond,#8A441F,2017-09-19 00:17:25.665,2020-05-07 18:29:50.218,"87/88",2
41,Under ripe,#6C6C6C,2017-09-19 00:17:25.447,2020-05-07 18:29:50.224,"49/210",2
211,Stale grain,#6C6C6C,2018-10-11 01:35:46.015,2020-05-07 18:29:50.230,"49/210",2
216,Unsweet grain,#6C6C6C,2018-10-11 01:35:46.028,2020-05-07 18:29:50.251,"49/214",2
