"id","name","label","species_id","created_at","updated_at","description"
189,San Francisco,San Francisco,1,2019-07-08 20:02:15.034,2019-07-08 20:02:15.034,
191,Nyanzaland,Nyanzaland,1,2019-07-15 16:02:45.716,2019-07-15 16:02:45.716,
192,Gesha M2,Gesha M2,1,2019-07-20 02:02:35.736,2019-07-20 02:02:35.736,
199,Jade Centennial,Jade Centennial,1,2019-08-28 15:35:33.590,2019-08-28 15:35:33.590,
193,Mbirizi,Mbirizi,1,2019-07-29 02:22:08.384,2019-07-29 02:22:08.384,
194,Pop3303/21,Pop3303/21,1,2019-07-29 02:22:45.455,2019-07-29 02:22:45.455,
125,f1/h1/centroamericano,F1/H1/Centroamericano,1,2018-12-10 06:27:27.033,2019-08-09 14:22:21.355,
195,CxR,Cx R,2,2019-08-11 20:03:18.422,2019-08-11 20:03:18.422,
196,S274,S274,2,2019-08-11 20:03:25.147,2019-08-11 20:03:25.147,
197,"74148","74148",1,2019-08-27 13:50:25.694,2019-08-27 13:50:25.694,
200,H3 Hybrid,H3 Hybrid,1,2019-08-31 02:08:12.480,2019-08-31 02:08:12.480,
201,Kenya,Kenya,1,2019-09-05 14:04:32.859,2019-09-05 14:04:32.859,
202,Catigua,Catigua,1,2019-09-05 18:07:15.970,2019-09-05 18:07:15.970,
203,Red Catucai,Red Catucai,1,2019-09-13 16:54:03.798,2019-09-13 16:54:03.798,
115,Kudhumi/Kurume,Kudhumi/Kurume,1,2018-11-14 17:30:47.537,2019-09-17 15:33:38.382,
204,Pache Amarillo,Pache Amarillo,1,2019-09-18 23:40:30.493,2019-09-18 23:40:30.493,
205,Walichu,Walichu,1,2019-09-19 01:22:51.779,2019-09-19 01:22:51.779,
206,Miqe,Miqe,1,2019-09-19 01:24:20.356,2019-09-19 01:24:20.356,
207,Chandragiri,Chandragiri,1,2019-09-25 14:38:49.486,2019-09-25 14:38:49.486,
208,ipr 103,IPR-103,1,2019-09-25 19:37:57.491,2019-09-25 19:40:54.956,
209,Esperanza,Esperanza,1,2019-10-04 15:52:11.827,2019-10-04 15:52:11.827,
211,"74160","74160",1,2019-10-11 15:15:21.519,2019-10-11 15:15:21.519,
212,IAC125,Iac125,1,2019-10-11 15:37:20.920,2019-10-11 15:37:20.920,
213,Sigaratu,Sigaratu,1,2019-10-16 16:59:05.063,2019-10-16 16:59:05.063,
214,Catimor P3,Catimor P3,1,2019-10-23 14:58:53.461,2019-10-23 14:58:53.461,
218,"74`158","74`158",1,2019-11-06 15:00:54.766,2019-11-06 15:00:54.766,
219,Bangi Gesha,Bangi Gesha,1,2019-11-06 20:55:04.656,2019-11-06 20:55:04.656,
222,"74140","74140",1,2019-11-15 21:00:36.866,2019-11-15 21:00:36.866,
225,"74115","74115",1,2019-12-02 17:21:39.547,2019-12-02 17:21:39.547,
228,"75227","75227",1,2019-12-11 17:54:46.013,2019-12-11 17:54:46.013,
231,Gayo Bourbon,Gayo Bourbon,1,2020-01-01 21:53:27.251,2020-01-01 21:53:27.251,
234,Ethiopia 47,Ethiopia 47,1,2020-01-13 16:12:48.448,2020-01-13 16:12:48.448,
237,Kabare 2,Kabare 2,1,2020-04-07 01:17:42.071,2020-04-07 01:17:42.071,
240,"74158","74158",1,2020-04-15 19:40:15.055,2020-04-15 19:40:15.055,
243,Mbirizi 49,Mbirizi 49,1,2020-04-29 02:15:39.642,2020-04-29 02:15:39.642,
246,hawari,Hawari,1,2020-05-12 23:47:15.172,2020-05-12 23:47:15.172,
250,Ibairi,Ibairi,1,2020-06-17 19:27:17.530,2020-06-17 19:27:17.530,
251,"75210","75210",1,2020-12-07 22:53:42.683,2020-12-07 22:53:42.683,
252,"74212","74212",1,2020-12-07 22:53:53.915,2020-12-07 22:53:53.915,
215,Catimor P4,Catimor P4,1,2019-10-23 14:59:04.484,2019-10-23 14:59:04.484,
216,Sampacho,Sampacho,1,2019-10-29 01:32:40.351,2019-10-29 01:32:40.351,
217,San Isidro,San Isidro,1,2019-10-30 18:56:26.321,2019-10-30 18:56:26.321,
220,Garunggang,Garunggang,1,2019-11-08 18:50:31.177,2019-11-08 18:50:31.177,
